OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Length,Subway_Group,Subway Group
1,G,Document/Folder,0,-1,0.0,0,0,,,0.007230510809975,,G
2,G,Document/Folder,0,-1,0.0,0,0,,,0.011428230145519,,G
3,Q,Document/Folder,0,-1,0.0,0,0,,,0.006214916221717,,"N, Q, R, W"
4,M,Document/Folder,0,-1,0.0,0,0,,,0.005762538707439,,"B, D, F, M"
5,M,Document/Folder,0,-1,0.0,0,0,,,0.008097112029278,,"B, D, F, M"
6,M,Document/Folder,0,-1,0.0,0,0,,,0.008235207140235,,"B, D, F, M"
7,G,Document/Folder,0,-1,0.0,0,0,,,0.008613270200706,,G
8,G,Document/Folder,0,-1,0.0,0,0,,,0.002377503500887,,G
9,S,Document/Folder,0,-1,0.0,0,0,,,0.007335518553042,,S
10,A,Document/Folder,0,-1,0.0,0,0,,,0.016575449595434,,"A, C, E"
11,S,Document/Folder,0,-1,0.0,0,0,,,0.008361945187737,,S
12,S,Document/Folder,0,-1,0.0,0,0,,,0.007435159373976,,S
13,B-D,Document/Folder,0,-1,0.0,0,0,,,0.007684101739352,,"B, D, F, M"
14,B-D,Document/Folder,0,-1,0.0,0,0,,,0.001379534557684,,"B, D, F, M"
15,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.001674465870348,,"B, D, F, M"
16,R,Document/Folder,0,-1,0.0,0,0,,,0.004057384830138,,"N, Q, R, W"
17,N-Q-R,Document/Folder,0,-1,0.0,0,0,,,0.00382277589042,,"N, Q, R, W"
18,N-Q,Document/Folder,0,-1,0.0,0,0,,,0.002533036929843,,"N, Q, R, W"
19,N-R,Document/Folder,0,-1,0.0,0,0,,,0.00531975592929,,"N, Q, R, W"
20,F,Document/Folder,0,-1,0.0,0,0,,,0.011764399341125,,"B, D, F, M"
21,F,Document/Folder,0,-1,0.0,0,0,,,0.007935532970314,,"B, D, F, M"
22,N-R,Document/Folder,0,-1,0.0,0,0,,,0.007084699844519,,"N, Q, R, W"
23,F-M,Document/Folder,0,-1,0.0,0,0,,,0.009470065223266,,"B, D, F, M"
24,F-M,Document/Folder,0,-1,0.0,0,0,,,0.007731342658354,,"B, D, F, M"
25,E,Document/Folder,0,-1,0.0,0,0,,,0.010224273050338,,"A, C, E"
26,E,Document/Folder,0,-1,0.0,0,0,,,0.007445199640362,,"A, C, E"
27,7,Document/Folder,0,-1,0.0,0,0,,,0.007123487289812,,7
28,7,Document/Folder,0,-1,0.0,0,0,,,0.00686486300624,,7
29,A,Document/Folder,0,-1,0.0,0,0,,,0.008619838367832,,"A, C, E"
30,A,Document/Folder,0,-1,0.0,0,0,,,0.006619425952172,,"A, C, E"
31,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.008534189116749,,"J, Z"
32,A,Document/Folder,0,-1,0.0,0,0,,,0.002205210381783,,"A, C, E"
33,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.007215959180515,,"J, Z"
34,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.007323993463071,,"J, Z"
35,A,Document/Folder,0,-1,0.0,0,0,,,0.007354393016714,,"A, C, E"
36,M,Document/Folder,0,-1,0.0,0,0,,,0.008784911868997,,"B, D, F, M"
37,7,Document/Folder,0,-1,0.0,0,0,,,0.005036228745978,,7
38,E,Document/Folder,0,-1,0.0,0,0,,,0.007731354991194,,"A, C, E"
39,E,Document/Folder,0,-1,0.0,0,0,,,0.008308898925259,,"A, C, E"
40,L,Document/Folder,0,-1,0.0,0,0,,,0.007923818168067,,L
41,M,Document/Folder,0,-1,0.0,0,0,,,0.007365936180544,,"B, D, F, M"
42,L,Document/Folder,0,-1,0.0,0,0,,,0.005287697554884,,L
43,M,Document/Folder,0,-1,0.0,0,0,,,0.007412702008949,,"B, D, F, M"
44,A-C,Document/Folder,0,-1,0.0,0,0,,,0.010971319445001,,"A, C, E"
45,L,Document/Folder,0,-1,0.0,0,0,,,0.003603995186494,,L
46,L,Document/Folder,0,-1,0.0,0,0,,,0.009736492209229,,L
47,L,Document/Folder,0,-1,0.0,0,0,,,0.00649513409556,,L
48,A-C,Document/Folder,0,-1,0.0,0,0,,,0.008733484127198,,"A, C, E"
49,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.006503523664394,,"J, Z"
50,A-C,Document/Folder,0,-1,0.0,0,0,,,0.009712365268282,,"A, C, E"
51,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.004827044926858,,"J, Z"
52,D,Document/Folder,0,-1,0.0,0,0,,,0.006333424734556,,"B, D, F, M"
53,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.005600707044557,,"J, Z"
54,A,Document/Folder,0,-1,0.0,0,0,,,0.010998896348842,,"A, C, E"
55,A,Document/Folder,0,-1,0.0,0,0,,,0.00428789861683,,"A, C, E"
56,A,Document/Folder,0,-1,0.0,0,0,,,0.00611918168276,,"A, C, E"
57,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.018231010603937,,"J, Z"
58,J-Z,Document/Folder,0,-1,0.0,0,0,,,0.006657314215667,,"J, Z"
59,A-C,Document/Folder,0,-1,0.0,0,0,,,0.004632935644231,,"A, C, E"
60,D,Document/Folder,0,-1,0.0,0,0,,,0.007100274245829,,"B, D, F, M"
61,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.006071634866992,,"1, 2, 3"
62,G,Document/Folder,0,-1,0.0,0,0,,,0.005929233793851,,G
63,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.008472265635551,,"B, D, F, M"
64,B,Document/Folder,0,-1,0.0,0,0,,,0.00954352242644,,"B, D, F, M"
